HDI Rank (2015),Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
108,Botswana,0.585,0.5920000000000001,0.59,0.5870000000000001,0.581,0.58,0.575,0.5720000000000001,0.564,0.5589999999999999,0.56,0.5579999999999999,0.5670000000000001,0.58,0.593,0.61,0.63,0.6459999999999999,0.6609999999999999,0.669,0.6779999999999999,0.687,0.693,0.6970000000000001,0.698,0.698
109,Gabon,0.62,0.625,0.625,0.628,0.631,0.634,0.636,0.638,0.6409999999999999,0.637,0.633,0.636,0.638,0.64,0.64,0.6459999999999999,0.645,0.6509999999999999,0.652,0.66,0.664,0.669,0.6779999999999999,0.687,0.6940000000000001,0.6970000000000001
119,South Africa,0.621,0.629,0.638,0.645,0.652,0.653,0.6509999999999999,0.647,0.6409999999999999,0.635,0.629,0.62,0.613,0.611,0.609,0.609,0.612,0.616,0.622,0.63,0.638,0.644,0.652,0.66,0.665,0.6659999999999999
122,Cabo Verde,,,,,,,,,,,0.562,0.569,0.5720000000000001,0.574,0.5820000000000001,0.596,0.602,0.615,0.621,0.627,0.632,0.636,0.643,0.643,0.6459999999999999,0.648
125,Namibia,0.578,0.581,0.586,0.588,0.59,0.5870000000000001,0.581,0.574,0.568,0.5589999999999999,0.556,0.556,0.5539999999999999,0.5589999999999999,0.565,0.57,0.578,0.589,0.598,0.604,0.612,0.619,0.625,0.632,0.637,0.64
135,Congo,0.521,0.519,0.518,0.513,0.505,0.493,0.49,0.493,0.495,0.48700000000000004,0.48700000000000004,0.488,0.49200000000000005,0.49700000000000005,0.496,0.507,0.517,0.527,0.545,0.5479999999999999,0.5579999999999999,0.557,0.5760000000000001,0.581,0.59,0.5920000000000001
135,Equatorial Guinea,,,,,,,,,,,0.527,0.542,0.5539999999999999,0.5529999999999999,0.563,0.569,0.5870000000000001,0.5920000000000001,0.59,0.589,0.58,0.583,0.586,0.5820000000000001,0.5820000000000001,0.5920000000000001
139,Ghana,0.455,0.46,0.46399999999999997,0.46799999999999997,0.47,0.473,0.474,0.47600000000000003,0.47700000000000004,0.48,0.485,0.484,0.489,0.491,0.499,0.51,0.519,0.53,0.542,0.547,0.5539999999999999,0.563,0.57,0.5760000000000001,0.575,0.579
139,Zambia,0.39799999999999996,0.396,0.397,0.402,0.401,0.405,0.408,0.41100000000000003,0.413,0.418,0.424,0.433,0.44299999999999995,0.456,0.467,0.479,0.49200000000000005,0.504,0.518,0.5329999999999999,0.5429999999999999,0.5539999999999999,0.565,0.57,0.5760000000000001,0.579
142,Sao Tome and Principe,0.45399999999999996,0.457,0.46,0.46399999999999997,0.46799999999999997,0.47100000000000003,0.47600000000000003,0.479,0.483,0.488,0.49700000000000005,0.501,0.504,0.509,0.514,0.521,0.527,0.531,0.5329999999999999,0.542,0.546,0.5529999999999999,0.5589999999999999,0.562,0.565,0.574
146,Kenya,0.473,0.47100000000000003,0.46799999999999997,0.46299999999999997,0.46,0.45899999999999996,0.456,0.452,0.45,0.44799999999999995,0.447,0.451,0.45,0.461,0.474,0.483,0.494,0.506,0.514,0.523,0.53,0.536,0.541,0.546,0.55,0.555
148,Swaziland,0.5479999999999999,0.55,0.551,0.5489999999999999,0.544,0.5429999999999999,0.539,0.5329999999999999,0.523,0.516,0.506,0.502,0.493,0.49200000000000005,0.495,0.502,0.508,0.514,0.519,0.523,0.526,0.534,0.539,0.541,0.541,0.541
150,Angola,,,,,,,,,,0.382,0.391,0.401,0.406,0.415,0.426,0.439,0.45399999999999996,0.46799999999999997,0.48,0.488,0.495,0.508,0.523,0.527,0.531,0.5329999999999999
151,Tanzania (United Republic of),0.37,0.37,0.368,0.368,0.36700000000000005,0.368,0.369,0.371,0.377,0.384,0.391,0.39899999999999997,0.41,0.42,0.43200000000000005,0.446,0.457,0.46799999999999997,0.478,0.488,0.498,0.504,0.513,0.512,0.519,0.531
152,Nigeria,,,,,,,,,,,,,,0.445,0.46299999999999997,0.466,0.47700000000000004,0.48100000000000004,0.48700000000000004,0.49200000000000005,0.5,0.507,0.514,0.521,0.525,0.527
153,Cameroon,0.444,0.442,0.44,0.43700000000000006,0.435,0.436,0.433,0.434,0.43799999999999994,0.433,0.43700000000000006,0.452,0.452,0.455,0.456,0.456,0.456,0.466,0.473,0.48,0.486,0.496,0.501,0.507,0.514,0.518
154,Zimbabwe,0.499,0.501,0.486,0.479,0.475,0.465,0.46,0.451,0.442,0.434,0.42700000000000005,0.42700000000000005,0.418,0.40700000000000003,0.406,0.408,0.414,0.42100000000000004,0.419,0.436,0.452,0.46399999999999997,0.488,0.498,0.507,0.516
157,Mauritania,0.37799999999999995,0.382,0.391,0.40299999999999997,0.415,0.42200000000000004,0.429,0.429,0.436,0.44299999999999995,0.444,0.446,0.447,0.451,0.461,0.466,0.475,0.475,0.47600000000000003,0.484,0.48700000000000004,0.491,0.501,0.509,0.513,0.513
158,Madagascar,,,,,,,,,,,0.456,0.462,0.457,0.466,0.473,0.478,0.483,0.491,0.5,0.503,0.504,0.506,0.508,0.509,0.511,0.512
159,Rwanda,0.244,0.22,0.20600000000000002,0.203,0.19399999999999998,0.23,0.259,0.285,0.3,0.318,0.332,0.34299999999999997,0.359,0.371,0.38799999999999996,0.40399999999999997,0.424,0.43799999999999994,0.447,0.45399999999999996,0.46399999999999997,0.475,0.485,0.488,0.493,0.498
160,Comoros,,,,,,,,,,,,,,,0.434,0.451,0.45899999999999996,0.461,0.465,0.47600000000000003,0.479,0.484,0.49,0.49700000000000005,0.498,0.498
160,Lesotho,0.493,0.493,0.493,0.48700000000000004,0.489,0.483,0.47700000000000004,0.46799999999999997,0.45399999999999996,0.445,0.44299999999999995,0.446,0.44,0.439,0.43700000000000006,0.43700000000000006,0.44,0.447,0.45299999999999996,0.46399999999999997,0.469,0.479,0.484,0.491,0.495,0.49700000000000005
162,Senegal,0.36700000000000005,0.366,0.36700000000000005,0.365,0.365,0.371,0.373,0.37200000000000005,0.376,0.37799999999999995,0.381,0.397,0.401,0.408,0.415,0.42200000000000004,0.425,0.435,0.444,0.449,0.455,0.46299999999999997,0.474,0.483,0.491,0.494
163,Uganda,0.309,0.31,0.303,0.311,0.314,0.32,0.336,0.35100000000000003,0.366,0.382,0.396,0.40399999999999997,0.418,0.42700000000000005,0.429,0.434,0.442,0.45299999999999996,0.46399999999999997,0.473,0.47700000000000004,0.47700000000000004,0.478,0.483,0.488,0.493
165,Sudan,0.331,0.337,0.345,0.35200000000000004,0.358,0.365,0.373,0.382,0.38799999999999996,0.39399999999999996,0.39899999999999997,0.40299999999999997,0.409,0.415,0.423,0.43,0.44,0.444,0.456,0.461,0.46299999999999997,0.46799999999999997,0.478,0.485,0.488,0.49
