HDI Rank (2015),Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
2,Australia,0.866,0.867,0.871,0.8740000000000001,0.8759999999999999,0.885,0.888,0.8909999999999999,0.894,0.897,0.899,0.902,0.905,0.9079999999999999,0.91,0.915,0.9179999999999999,0.9209999999999999,0.925,0.927,0.927,0.93,0.9329999999999999,0.9359999999999999,0.937,0.9390000000000001
5,Singapore,0.718,0.7290000000000001,0.74,0.7509999999999999,0.763,0.773,0.7829999999999999,0.795,0.8009999999999999,0.81,0.82,0.818,0.8190000000000001,0.82,0.821,0.8390000000000001,0.873,0.88,0.887,0.889,0.9109999999999999,0.917,0.92,0.922,0.924,0.925
12,"Hong Kong, China (SAR)",0.7809999999999999,0.7859999999999999,0.7909999999999999,0.799,0.804,0.8079999999999999,0.8109999999999999,0.815,0.816,0.8190000000000001,0.825,0.833,0.841,0.851,0.861,0.87,0.8809999999999999,0.887,0.892,0.894,0.898,0.905,0.907,0.9129999999999999,0.9159999999999999,0.917
13,New Zealand,0.818,0.82,0.825,0.836,0.845,0.851,0.855,0.86,0.863,0.8640000000000001,0.868,0.873,0.8809999999999999,0.884,0.8859999999999999,0.888,0.8909999999999999,0.894,0.895,0.899,0.9009999999999999,0.904,0.9079999999999999,0.91,0.9129999999999999,0.915
17,Japan,0.8140000000000001,0.8190000000000001,0.8220000000000001,0.828,0.8340000000000001,0.838,0.8420000000000001,0.846,0.848,0.852,0.856,0.86,0.863,0.866,0.87,0.873,0.877,0.88,0.8809999999999999,0.879,0.884,0.889,0.894,0.899,0.902,0.903
18,Korea (Republic of),0.731,0.741,0.7490000000000001,0.759,0.77,0.7809999999999999,0.792,0.802,0.8,0.8109999999999999,0.82,0.826,0.835,0.843,0.852,0.86,0.867,0.873,0.8759999999999999,0.87,0.884,0.889,0.8909999999999999,0.8959999999999999,0.899,0.9009999999999999
30,Brunei Darussalam,0.782,0.787,0.792,0.797,0.8009999999999999,0.805,0.807,0.81,0.812,0.818,0.8190000000000001,0.82,0.823,0.828,0.8340000000000001,0.8370000000000001,0.84,0.84,0.841,0.845,0.846,0.852,0.86,0.863,0.8640000000000001,0.865
59,Malaysia,0.643,0.6509999999999999,0.66,0.667,0.675,0.6829999999999999,0.695,0.706,0.7090000000000001,0.715,0.725,0.723,0.7240000000000001,0.731,0.7340000000000001,0.732,0.736,0.747,0.7559999999999999,0.764,0.774,0.7759999999999999,0.779,0.7829999999999999,0.787,0.789
60,Palau,,,,,,,,,,,0.741,0.746,0.7509999999999999,0.754,0.7559999999999999,0.758,0.765,0.767,0.77,0.77,0.77,0.775,0.779,0.782,0.7829999999999999,0.7879999999999999
63,Seychelles,,,,,,,,,,,0.7140000000000001,0.7120000000000001,0.713,0.715,0.7120000000000001,0.728,0.733,0.7390000000000001,0.7390000000000001,0.74,0.7440000000000001,0.755,0.762,0.7659999999999999,0.7809999999999999,0.782
