HDI Rank (2015),Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
1,Norway,0.8490000000000001,0.855,0.862,0.87,0.884,0.883,0.888,0.895,0.9059999999999999,0.9109999999999999,0.917,0.9159999999999999,0.9179999999999999,0.924,0.929,0.9309999999999999,0.934,0.9359999999999999,0.9359999999999999,0.9359999999999999,0.9390000000000001,0.941,0.9420000000000001,0.945,0.948,0.9490000000000001
2,Switzerland,0.831,0.833,0.835,0.84,0.8420000000000001,0.846,0.853,0.863,0.872,0.879,0.888,0.89,0.889,0.895,0.899,0.904,0.9109999999999999,0.914,0.9159999999999999,0.92,0.932,0.932,0.934,0.9359999999999999,0.938,0.9390000000000001
4,Germany,0.8009999999999999,0.809,0.8140000000000001,0.8220000000000001,0.828,0.8340000000000001,0.84,0.845,0.85,0.855,0.86,0.867,0.872,0.877,0.884,0.892,0.898,0.903,0.9059999999999999,0.907,0.912,0.9159999999999999,0.919,0.92,0.924,0.9259999999999999
5,Denmark,0.799,0.8029999999999999,0.8079999999999999,0.815,0.823,0.83,0.836,0.8420000000000001,0.848,0.86,0.862,0.875,0.882,0.893,0.897,0.902,0.904,0.9059999999999999,0.9059999999999999,0.9059999999999999,0.91,0.922,0.924,0.9259999999999999,0.9229999999999999,0.925
7,Netherlands,0.83,0.835,0.836,0.84,0.865,0.863,0.867,0.867,0.8690000000000001,0.873,0.878,0.882,0.8809999999999999,0.885,0.888,0.893,0.899,0.905,0.9059999999999999,0.9059999999999999,0.9109999999999999,0.9209999999999999,0.922,0.9229999999999999,0.9229999999999999,0.924
8,Ireland,0.762,0.7659999999999999,0.772,0.78,0.7879999999999999,0.794,0.8009999999999999,0.809,0.84,0.848,0.857,0.862,0.87,0.88,0.889,0.8959999999999999,0.902,0.9079999999999999,0.909,0.907,0.909,0.895,0.902,0.91,0.92,0.9229999999999999
9,Iceland,0.797,0.809,0.812,0.812,0.818,0.82,0.825,0.833,0.843,0.847,0.8540000000000001,0.8590000000000001,0.866,0.873,0.879,0.884,0.887,0.892,0.894,0.894,0.894,0.9009999999999999,0.907,0.915,0.919,0.9209999999999999
14,Sweden,0.815,0.8170000000000001,0.82,0.8390000000000001,0.848,0.856,0.8590000000000001,0.862,0.867,0.873,0.877,0.88,0.882,0.888,0.89,0.892,0.895,0.897,0.898,0.895,0.9009999999999999,0.903,0.904,0.9059999999999999,0.909,0.9129999999999999
15,Liechtenstein,,,,,,,,,,,0.862,0.868,0.873,0.878,0.883,0.8859999999999999,0.89,0.893,0.899,0.899,0.904,0.909,0.9079999999999999,0.912,0.9109999999999999,0.912
16,United Kingdom,0.775,0.787,0.8,0.813,0.826,0.8390000000000001,0.843,0.8490000000000001,0.8540000000000001,0.86,0.866,0.87,0.8740000000000001,0.878,0.8859999999999999,0.89,0.889,0.892,0.895,0.895,0.902,0.898,0.899,0.904,0.9079999999999999,0.91
20,Luxembourg,0.782,0.79,0.795,0.799,0.8029999999999999,0.8079999999999999,0.8170000000000001,0.826,0.8340000000000001,0.848,0.8540000000000001,0.86,0.865,0.867,0.8740000000000001,0.88,0.877,0.887,0.888,0.884,0.894,0.892,0.892,0.892,0.8959999999999999,0.898
21,France,0.779,0.7879999999999999,0.7979999999999999,0.8029999999999999,0.818,0.825,0.83,0.8340000000000001,0.8390000000000001,0.8440000000000001,0.8490000000000001,0.851,0.852,0.857,0.86,0.87,0.873,0.877,0.879,0.879,0.882,0.885,0.887,0.89,0.894,0.897
22,Belgium,0.805,0.809,0.8240000000000001,0.838,0.8440000000000001,0.851,0.856,0.861,0.865,0.8690000000000001,0.873,0.875,0.878,0.88,0.861,0.865,0.871,0.8740000000000001,0.8759999999999999,0.878,0.884,0.8859999999999999,0.889,0.89,0.895,0.8959999999999999
23,Finland,0.7829999999999999,0.7859999999999999,0.794,0.7979999999999999,0.8079999999999999,0.815,0.8220000000000001,0.83,0.8390000000000001,0.847,0.856,0.863,0.866,0.8690000000000001,0.8640000000000001,0.8690000000000001,0.873,0.8759999999999999,0.878,0.8740000000000001,0.878,0.884,0.887,0.89,0.893,0.895
26,Italy,0.768,0.773,0.779,0.784,0.7929999999999999,0.799,0.805,0.812,0.818,0.823,0.828,0.836,0.841,0.846,0.851,0.856,0.862,0.866,0.868,0.8690000000000001,0.872,0.877,0.8759999999999999,0.877,0.8809999999999999,0.887
