HDI Rank (2015),Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
19,Israel,0.785,0.794,0.8009999999999999,0.8059999999999999,0.8109999999999999,0.8170000000000001,0.823,0.831,0.8390000000000001,0.845,0.85,0.855,0.863,0.863,0.866,0.87,0.872,0.877,0.8759999999999999,0.878,0.883,0.889,0.8909999999999999,0.895,0.898,0.899
33,Qatar,0.754,0.7509999999999999,0.752,0.763,0.775,0.7829999999999999,0.7959999999999999,0.8,0.804,0.8079999999999999,0.809,0.807,0.815,0.826,0.83,0.835,0.83,0.825,0.828,0.825,0.8270000000000001,0.8370000000000001,0.843,0.8540000000000001,0.855,0.856
38,Saudi Arabia,0.698,0.7070000000000001,0.7120000000000001,0.715,0.718,0.722,0.727,0.731,0.736,0.737,0.742,0.745,0.747,0.754,0.7609999999999999,0.767,0.773,0.779,0.787,0.792,0.804,0.818,0.83,0.841,0.845,0.847
42,United Arab Emirates,0.726,0.738,0.742,0.748,0.7559999999999999,0.764,0.7709999999999999,0.778,0.785,0.7909999999999999,0.7979999999999999,0.8029999999999999,0.8079999999999999,0.813,0.818,0.823,0.826,0.8290000000000001,0.831,0.826,0.8240000000000001,0.826,0.8290000000000001,0.8320000000000001,0.836,0.84
47,Bahrain,0.745,0.7509999999999999,0.757,0.765,0.768,0.775,0.778,0.779,0.7829999999999999,0.7859999999999999,0.794,0.7959999999999999,0.7979999999999999,0.8029999999999999,0.8059999999999999,0.81,0.813,0.815,0.8140000000000001,0.81,0.812,0.812,0.815,0.82,0.823,0.8240000000000001
51,Kuwait,0.713,0.6729999999999999,0.6659999999999999,0.695,0.721,0.747,0.772,0.775,0.78,0.7859999999999999,0.7859999999999999,0.785,0.7879999999999999,0.7909999999999999,0.789,0.787,0.787,0.787,0.7879999999999999,0.79,0.792,0.794,0.7959999999999999,0.787,0.799,0.8
52,Oman,,,,,,,,,,,0.705,0.716,0.725,0.7340000000000001,0.742,0.748,0.753,0.765,0.782,0.797,0.797,0.797,0.7959999999999999,0.7959999999999999,0.795,0.7959999999999999
69,Iran (Islamic Republic of),0.5720000000000001,0.59,0.603,0.614,0.623,0.634,0.642,0.648,0.654,0.66,0.6659999999999999,0.674,0.679,0.6859999999999999,0.687,0.6920000000000001,0.7040000000000001,0.716,0.728,0.735,0.745,0.755,0.769,0.77,0.774,0.774
71,Turkey,0.5760000000000001,0.58,0.586,0.594,0.596,0.604,0.613,0.621,0.632,0.6409999999999999,0.653,0.6579999999999999,0.6679999999999999,0.675,0.6809999999999999,0.687,0.6970000000000001,0.705,0.7090000000000001,0.715,0.737,0.75,0.754,0.759,0.764,0.767
76,Lebanon,,,,,,,,,,,,,,,,0.733,0.731,0.74,0.746,0.752,0.758,0.763,0.7659999999999999,0.763,0.763,0.763
83,Algeria,0.5770000000000001,0.581,0.5870000000000001,0.591,0.595,0.6,0.609,0.617,0.627,0.636,0.644,0.653,0.6629999999999999,0.6729999999999999,0.68,0.6859999999999999,0.69,0.6970000000000001,0.705,0.7140000000000001,0.7240000000000001,0.732,0.737,0.741,0.743,0.745
86,Jordan,0.62,0.63,0.6509999999999999,0.662,0.6729999999999999,0.687,0.6890000000000001,0.693,0.6970000000000001,0.7,0.706,0.7120000000000001,0.7170000000000001,0.723,0.73,0.733,0.736,0.7390000000000001,0.742,0.7390000000000001,0.737,0.735,0.737,0.737,0.741,0.742
